"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.086159000E-1,0.000000000E0,0.000000000E0,0.000000000E0
1.134379320E-1,1.829415560E-3,-3.651332855E-2,-7.409858704E-2
1.182599630E-1,1.695436239E-2,-5.861234665E-2,-1.307101250E-1
1.230820460E-1,3.306077421E-2,-1.049823761E-1,-1.266646385E-1
1.279040770E-1,6.266477704E-2,-1.339221001E-1,-9.343767166E-2
1.327261090E-1,9.431860596E-2,-1.418962479E-1,-1.043338776E-1
1.375481400E-1,1.103641018E-1,-1.345176697E-1,-1.123671532E-1
1.423701710E-1,8.442823589E-2,-1.070566177E-1,-5.657243729E-2
1.471922020E-1,7.304126024E-2,-6.018400192E-2,9.428501129E-3
1.520142340E-1,6.991732866E-2,-2.451038361E-2,9.300088882E-2
1.568363170E-1,8.176297694E-2,1.279926300E-2,1.549959183E-1
1.616583480E-1,5.470082909E-2,4.028511047E-2,2.034864426E-1
1.664803800E-1,1.771120727E-2,8.015060425E-2,2.067561150E-1
1.713024110E-1,-3.812125325E-2,1.176009178E-1,2.177548409E-1
1.761244420E-1,-1.010577977E-1,1.398744583E-1,2.279462814E-1
1.809464730E-1,-1.197350323E-1,1.301350594E-1,2.227067947E-1
1.857685570E-1,-9.684190154E-2,1.206669807E-1,1.913781166E-1
1.905905880E-1,-4.480120540E-2,1.238055229E-1,1.644172668E-1
1.954126190E-1,-3.286275268E-2,1.275672913E-1,1.526455879E-1
2.002346500E-1,-3.184416890E-2,1.057372093E-1,1.188254356E-1
2.050566820E-1,-5.281984806E-2,8.106708527E-2,6.261873245E-2
2.098787130E-1,-7.237580419E-2,4.664897919E-2,3.275585175E-2
2.147007960E-1,-1.102087200E-1,1.301574707E-2,5.083084106E-4
2.195228270E-1,-1.143725812E-1,-1.201248169E-2,-6.050300598E-2
2.243448590E-1,-1.611522138E-1,-2.650737762E-2,-1.310429573E-1
2.291668900E-1,-2.471019030E-1,-1.491498947E-2,-1.303625107E-1
2.339889210E-1,-3.113135695E-1,-9.425163269E-3,-1.070423126E-1
2.388109520E-1,-3.133786321E-1,-4.207134247E-3,-6.167221069E-2
2.436329840E-1,-2.669208348E-1,3.421068192E-2,-6.398677826E-3
2.484550670E-1,-2.161731720E-1,8.029699326E-2,4.607200623E-2
2.532770980E-1,-2.283446491E-1,1.072926521E-1,1.132898331E-1
2.580991300E-1,-2.595051229E-1,1.550097466E-1,1.847367287E-1
2.629211610E-1,-2.916050851E-1,1.753325462E-1,2.279434204E-1
2.677431920E-1,-2.825579643E-1,1.853842735E-1,2.391548157E-1
2.725652230E-1,-2.795236409E-1,1.900873184E-1,2.449164391E-1
2.773873070E-1,-2.375879586E-1,1.803689003E-1,2.313742638E-1
2.822093380E-1,-2.003003955E-1,1.392455101E-1,1.803216934E-1
2.870313690E-1,-1.832232773E-1,1.164650917E-1,1.380739212E-1
2.918534000E-1,-1.564328969E-1,9.295272827E-2,1.205935478E-1
2.966754320E-1,-1.408466697E-1,5.356264114E-2,9.688854218E-2
