"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.024137500E-1,-1.363908947E-1,-7.010970116E0,7.054041386E0
2.048246880E-1,-1.387837082E-1,-6.982256413E0,7.044469833E0
2.072356250E-1,-1.316052526E-1,-6.943971157E0,7.030112743E0
2.096465630E-1,-1.292124242E-1,-6.943971157E0,7.018148899E0
2.120575520E-1,-1.316052526E-1,-6.932007313E0,7.032505512E0
2.144684900E-1,-1.555334777E-1,-6.953542709E0,7.025327206E0
2.168794270E-1,-1.579262912E-1,-6.948757172E0,7.022934437E0
2.192903650E-1,-1.842473447E-1,-6.951149940E0,7.015756130E0
2.217013020E-1,-1.914258152E-1,-6.927221775E0,7.013363361E0
2.241122400E-1,-1.770688742E-1,-6.900900364E0,7.008577347E0
2.265231770E-1,-1.866401732E-1,-6.891329288E0,7.001399040E0
2.289341150E-1,-1.914258152E-1,-6.891329288E0,6.999006271E0
2.313450520E-1,-1.794617027E-1,-6.896114826E0,6.999006271E0
2.337559900E-1,-1.938186288E-1,-6.893722057E0,6.991827965E0
2.361669270E-1,-2.129612118E-1,-6.891329288E0,6.991827965E0
2.385778650E-1,-1.986042857E-1,-6.884150982E0,6.989434719E0
2.409888540E-1,-1.866401732E-1,-6.874579430E0,7.006184578E0
2.433997920E-1,-1.962114573E-1,-6.881757736E0,7.003791809E0
2.458107290E-1,-1.842473447E-1,-6.881757736E0,7.015756130E0
2.482216670E-1,-1.483550072E-1,-6.898507595E0,7.025327206E0
2.506326040E-1,-1.387837082E-1,-6.888936520E0,7.032505512E0
2.530435420E-1,-1.555334777E-1,-6.891329288E0,7.006184578E0
2.554544790E-1,-1.507478207E-1,-6.893722057E0,7.006184578E0
2.578654170E-1,-1.196411327E-1,-6.903293133E0,7.008577347E0
2.602763540E-1,-1.028913707E-1,-6.893722057E0,7.006184578E0
2.626872920E-1,-9.092725813E-2,-6.891329288E0,7.010970116E0
2.650982290E-1,-7.657032460E-2,-6.898507595E0,7.018148899E0
2.675091670E-1,-5.982056633E-2,-6.891329288E0,7.025327206E0
2.699201040E-1,-5.264209956E-2,-6.876972198E0,7.027719975E0
2.723310940E-1,-5.264209956E-2,-6.865008354E0,7.049255371E0
2.747420320E-1,-5.024927482E-2,-6.860222340E0,7.068397999E0
2.771529690E-1,-4.307080805E-2,-6.860222340E0,7.068397999E0
2.795639070E-1,-5.024927482E-2,-6.860222340E0,7.075576782E0
2.819748440E-1,-6.460621208E-2,-6.872186661E0,7.068397999E0
2.843857820E-1,-7.178468257E-2,-6.891329288E0,7.058826923E0
2.867967190E-1,-9.092725813E-2,-6.898507595E0,7.058826923E0
2.892076570E-1,-9.332008660E-2,-6.917650223E0,7.044469833E0
2.916185940E-1,-7.896314561E-2,-6.927221775E0,7.037291527E0
2.940295320E-1,-8.374879509E-2,-6.934400082E0,7.018148899E0
2.964404690E-1,-7.657032460E-2,-6.955935478E0,7.008577347E0
2.988514070E-1,-8.374879509E-2,-6.946363926E0,7.001399040E0
3.012623440E-1,-7.417750359E-2,-6.967899323E0,6.999006271E0
3.036733340E-1,-7.178468257E-2,-6.994220734E0,6.999006271E0
3.060842710E-1,-7.657032460E-2,-7.003791809E0,6.982256413E0
3.084952090E-1,-5.742774159E-2,-7.022934437E0,6.987041950E0
3.109061460E-1,-7.178468257E-2,-7.039684296E0,6.991827965E0
3.133170840E-1,-8.374879509E-2,-7.049255371E0,6.989434719E0
3.157280210E-1,-7.178468257E-2,-7.054041386E0,6.984649181E0
3.181389590E-1,-4.546362907E-2,-7.068397999E0,6.987041950E0
3.205498960E-1,-4.785645381E-2,-7.075576782E0,6.972685337E0
3.229608340E-1,-3.589234129E-2,-7.075576782E0,6.975078106E0
3.253717710E-1,-3.589234129E-2,-7.094718933E0,6.972685337E0
3.277827090E-1,-4.307080805E-2,-7.121040344E0,6.967899323E0
3.301936460E-1,-6.939185411E-2,-7.118647575E0,6.960721016E0
3.326045840E-1,-7.896314561E-2,-7.133004189E0,6.965506554E0
3.350155730E-1,-1.004985496E-1,-7.133004189E0,6.975078106E0
3.374265110E-1,-1.172483116E-1,-7.135396957E0,6.989434719E0
3.398374480E-1,-1.339980662E-1,-7.135396957E0,6.975078106E0
3.422483860E-1,-1.435693651E-1,-7.135396957E0,6.982256413E0
3.446593230E-1,-1.555334777E-1,-7.130611420E0,6.977470875E0
3.470702610E-1,-1.698904037E-1,-7.125825882E0,6.979863644E0
3.494811980E-1,-1.746760458E-1,-7.099504948E0,6.965506554E0
3.518921360E-1,-1.698904037E-1,-7.082755089E0,6.965506554E0
3.543030730E-1,-1.962114573E-1,-7.070790768E0,6.977470875E0
3.567140110E-1,-1.938186288E-1,-7.066005230E0,6.982256413E0
3.591249480E-1,-2.033899277E-1,-7.056434155E0,6.991827965E0
3.615358860E-1,-2.129612118E-1,-7.049255371E0,6.994220734E0
3.639468750E-1,-2.105683982E-1,-7.051648140E0,6.987041950E0
3.663578130E-1,-2.153540403E-1,-7.025327206E0,6.991827965E0
3.687687500E-1,-2.153540403E-1,-7.008577347E0,7.013363361E0
3.711796880E-1,-2.081755698E-1,-6.975078106E0,7.013363361E0
3.735906250E-1,-1.914258152E-1,-6.972685337E0,7.022934437E0
3.760015630E-1,-2.009970993E-1,-6.958328247E0,7.018148899E0
3.784125000E-1,-1.866401732E-1,-6.917650223E0,7.010970116E0
3.808234380E-1,-1.746760458E-1,-6.903293133E0,7.008577347E0
3.832343750E-1,-1.555334777E-1,-6.908079147E0,6.982256413E0
3.856453130E-1,-1.363908947E-1,-6.888936520E0,6.979863644E0
3.880562500E-1,-1.196411327E-1,-6.865008354E0,6.970292568E0
3.904671880E-1,-1.076770201E-1,-6.860222340E0,6.970292568E0
3.928781250E-1,-1.100698411E-1,-6.855436802E0,6.960721016E0
3.952890630E-1,-1.316052526E-1,-6.850651264E0,6.963113785E0
3.977000520E-1,-1.387837082E-1,-6.841079712E0,6.967899323E0
4.001109900E-1,-1.244267747E-1,-6.841079712E0,6.984649181E0
4.025219270E-1,-1.603191197E-1,-6.853044033E0,6.963113785E0
4.049328650E-1,-1.866401732E-1,-6.855436802E0,6.960721016E0
4.073438020E-1,-1.818545163E-1,-6.862615108E0,6.943971157E0
4.097547400E-1,-1.674975902E-1,-6.884150982E0,6.953542709E0
4.121656770E-1,-1.555334777E-1,-6.881757736E0,6.967899323E0
4.145766150E-1,-1.483550072E-1,-6.898507595E0,6.977470875E0
4.169875520E-1,-1.435693651E-1,-6.932007313E0,6.987041950E0
4.193984900E-1,-1.339980662E-1,-6.941578388E0,7.001399040E0
4.218094270E-1,-1.603191197E-1,-6.953542709E0,7.032505512E0
4.242203650E-1,-1.890329868E-1,-6.927221775E0,7.077969551E0
4.266313540E-1,-1.962114573E-1,-6.915257454E0,7.092326164E0
4.290422920E-1,-1.890329868E-1,-6.903293133E0,7.109076023E0
4.314532290E-1,-1.890329868E-1,-6.924828529E0,7.137789726E0
4.338641670E-1,-1.507478207E-1,-6.898507595E0,7.147361279E0
4.362751040E-1,-1.316052526E-1,-6.881757736E0,7.161718369E0
4.386860420E-1,-1.244267747E-1,-6.903293133E0,7.173682213E0
4.410969790E-1,-1.052841991E-1,-6.893722057E0,7.164111137E0
4.435079170E-1,-1.100698411E-1,-6.874579430E0,7.137789726E0
4.459188540E-1,-1.459621787E-1,-6.869793892E0,7.121040344E0
4.483297920E-1,-1.770688742E-1,-6.865008354E0,7.092326164E0
4.507407290E-1,-1.746760458E-1,-6.860222340E0,7.082755089E0
4.531516670E-1,-1.698904037E-1,-6.855436802E0,7.061219692E0
4.555626040E-1,-1.627119333E-1,-6.850651264E0,7.027719975E0
4.579735940E-1,-1.603191197E-1,-6.853044033E0,6.994220734E0
4.603845320E-1,-1.483550072E-1,-6.862615108E0,6.977470875E0
4.627954690E-1,-1.555334777E-1,-6.879364967E0,6.975078106E0
4.652064070E-1,-1.555334777E-1,-6.874579430E0,6.951149940E0
4.676173440E-1,-1.339980662E-1,-6.879364967E0,6.936792850E0
4.700282820E-1,-1.076770201E-1,-6.888936520E0,6.929614544E0
4.724392190E-1,-1.004985496E-1,-6.912864685E0,6.920042992E0
4.748501570E-1,-1.028913707E-1,-6.908079147E0,6.941578388E0
4.772610940E-1,-8.374879509E-2,-6.898507595E0,6.922435760E0
4.796720320E-1,-8.135596663E-2,-6.898507595E0,6.917650223E0
4.820829690E-1,-9.571290761E-2,-6.912864685E0,6.927221775E0
4.844939070E-1,-9.571290761E-2,-6.905686378E0,6.929614544E0
4.869048440E-1,-9.810572863E-2,-6.903293133E0,6.934400082E0
4.893158340E-1,-8.135596663E-2,-6.910471916E0,6.922435760E0
4.917267710E-1,-9.332008660E-2,-6.912864685E0,6.939185619E0
4.941377090E-1,-8.853443712E-2,-6.917650223E0,6.953542709E0
4.965486460E-1,-9.810572863E-2,-6.917650223E0,6.958328247E0
4.989595840E-1,-1.052841991E-1,-6.932007313E0,6.965506554E0
5.013705210E-1,-1.028913707E-1,-6.946363926E0,6.987041950E0
5.037814590E-1,-1.148554832E-1,-6.934400082E0,6.999006271E0
5.061923960E-1,-1.244267747E-1,-6.932007313E0,7.018148899E0
5.086033340E-1,-1.483550072E-1,-6.946363926E0,7.018148899E0
5.110142710E-1,-1.722832322E-1,-6.946363926E0,7.032505512E0
5.134252090E-1,-1.938186288E-1,-6.924828529E0,7.046862602E0
5.158361980E-1,-2.009970993E-1,-6.936792850E0,7.066005230E0
5.182471360E-1,-2.057827413E-1,-6.941578388E0,7.085147858E0
5.206580730E-1,-2.105683982E-1,-6.948757172E0,7.101897717E0
5.230690110E-1,-2.033899277E-1,-6.965506554E0,7.118647575E0
5.254799480E-1,-2.009970993E-1,-6.972685337E0,7.123433113E0
5.278908860E-1,-2.153540403E-1,-6.970292568E0,7.125825882E0
5.303018230E-1,-1.914258152E-1,-6.943971157E0,7.133004189E0
5.327127610E-1,-1.890329868E-1,-6.960721016E0,7.152146816E0
5.351236980E-1,-1.842473447E-1,-6.951149940E0,7.135396957E0
5.375346360E-1,-1.770688742E-1,-6.934400082E0,7.109076023E0
5.399455730E-1,-1.914258152E-1,-6.929614544E0,7.101897717E0
5.423565110E-1,-1.698904037E-1,-6.898507595E0,7.082755089E0
5.447674480E-1,-1.698904037E-1,-6.879364967E0,7.058826923E0
5.471784380E-1,-1.866401732E-1,-6.865008354E0,7.049255371E0
5.495893750E-1,-1.842473447E-1,-6.843472958E0,7.061219692E0
5.520003130E-1,-1.890329868E-1,-6.821937561E0,7.034898758E0
5.544112500E-1,-1.746760458E-1,-6.817151546E0,7.010970116E0
5.568221880E-1,-1.794617027E-1,-6.819544315E0,7.001399040E0
5.592331250E-1,-1.603191197E-1,-6.802794933E0,7.003791809E0
5.616440630E-1,-1.507478207E-1,-6.800402164E0,6.994220734E0
5.640550000E-1,-1.339980662E-1,-6.790830612E0,6.989434719E0
5.664659380E-1,-1.220339537E-1,-6.793223381E0,7.006184578E0
5.688768750E-1,-1.100698411E-1,-6.793223381E0,6.996613503E0
5.712878130E-1,-1.172483116E-1,-6.793223381E0,7.003791809E0
5.736987500E-1,-1.124626622E-1,-6.793223381E0,7.010970116E0
