"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.785204000E-2,-3.352120519E-2,-1.145371469E-3,3.588830587E-3
6.026308200E-2,-2.985601686E-2,3.130682046E-3,7.254019380E-3
6.267407100E-2,-2.680169232E-2,5.574141163E-3,9.086613543E-3
6.508511300E-2,-2.252563834E-2,1.046105940E-2,1.091920771E-2
6.749610200E-2,-1.947131567E-2,1.229365356E-2,1.458439697E-2
6.990714400E-2,-1.519526169E-2,1.595884189E-2,1.702785492E-2
7.231818600E-2,-1.214093715E-2,1.840230078E-2,1.886045001E-2
7.472917500E-2,-1.030834299E-2,1.962403022E-2,2.252563834E-2
7.714021700E-2,-6.032289471E-3,2.328922041E-2,2.557996288E-2
7.955125900E-2,-4.199695308E-3,2.512181364E-2,2.802342176E-2
8.196224800E-2,-1.756236190E-3,2.634354308E-2,2.924515121E-2
8.437329000E-2,7.635809743E-5,2.695440874E-2,3.291033953E-2
8.678427900E-2,1.908952487E-3,2.817613818E-2,3.413207084E-2
8.919532100E-2,4.963276442E-3,2.878700197E-2,3.413207084E-2
9.160631100E-2,7.406735327E-3,2.817613818E-2,3.657552972E-2
9.401735200E-2,9.239329956E-3,2.878700197E-2,3.718639165E-2
9.642839400E-2,8.628465235E-3,2.756527252E-2,3.718639165E-2
9.883938400E-2,9.239329956E-3,2.573267929E-2,3.657552972E-2
1.012504250E-1,6.795870606E-3,2.451094985E-2,3.535379842E-2
1.036614150E-1,7.406735327E-3,2.206749097E-2,3.474293277E-2
1.060724570E-1,5.574141163E-3,1.962403022E-2,3.413207084E-2
1.084834980E-1,3.130682046E-3,1.595884189E-2,3.229947388E-2
1.108944880E-1,2.519817324E-3,1.168278884E-2,3.168861195E-2
1.133055290E-1,6.872228696E-4,7.406735327E-3,3.046688065E-2
1.157165190E-1,-1.145371469E-3,2.519817324E-3,2.985601686E-2
1.181275610E-1,-2.977965865E-3,-2.977965865E-3,2.680169232E-2
1.205386020E-1,-4.199695308E-3,-7.254019380E-3,2.496909723E-2
1.229495920E-1,-4.199695308E-3,-1.091920771E-2,2.313650399E-2
