"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.829296900E-2,-5.345067009E-3,2.832885459E-2,9.162971750E-3
3.070390700E-2,-7.788525894E-3,2.649625950E-2,7.941242307E-3
3.311484400E-2,-1.084284950E-2,2.283107117E-2,5.497782957E-3
3.552578200E-2,-1.572976820E-2,1.794415340E-2,2.443459118E-3
3.793671900E-2,-1.695149764E-2,1.366809942E-2,6.108647794E-4
4.034765700E-2,-2.122755162E-2,9.392046370E-3,0.000000000E0
4.275859400E-2,-2.428187430E-2,5.115992390E-3,-1.832594397E-3
4.516953200E-2,-2.733619884E-2,1.450803829E-3,-1.832594397E-3
4.758046900E-2,-3.161225095E-2,-4.046979360E-3,-3.665188793E-3
4.999145900E-2,-3.466657549E-2,-4.046979360E-3,-4.886918236E-3
5.240239600E-2,-3.711003438E-2,-4.657844082E-3,-6.719512399E-3
5.481333400E-2,-4.077522457E-2,-6.490438245E-3,-9.162971750E-3
5.722427100E-2,-4.505127668E-2,-7.101302966E-3,-1.038470119E-2
5.963520900E-2,-4.688387364E-2,-6.490438245E-3,-1.221729536E-2
6.204614600E-2,-4.932733253E-2,-4.046979360E-3,-1.282816008E-2
6.445708400E-2,-5.115992576E-2,-2.825249685E-3,-1.282816008E-2
6.686802100E-2,-5.360338464E-2,-2.825249685E-3,-1.343902480E-2
6.927895900E-2,-5.482511222E-2,2.290742996E-4,-1.404988952E-2
7.168989600E-2,-5.604684353E-2,2.061668551E-3,-1.466075517E-2
7.410083400E-2,-5.665770918E-2,5.115992390E-3,-1.527161989E-2
7.651177100E-2,-5.482511222E-2,7.559451740E-3,-1.649334840E-2
7.892270900E-2,-5.543597788E-2,1.000291109E-2,-1.588248461E-2
8.133364600E-2,-5.299251899E-2,1.183550525E-2,-1.588248461E-2
8.374458400E-2,-5.115992576E-2,1.488982886E-2,-1.649334840E-2
8.615557300E-2,-5.054906011E-2,1.611155830E-2,-1.527161989E-2
8.856651100E-2,-5.054906011E-2,1.794415340E-2,-1.160643063E-2
9.097744800E-2,-4.688387364E-2,1.916588284E-2,-1.221729536E-2
9.338838600E-2,-4.505127668E-2,1.977674663E-2,-1.038470119E-2
