"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.088553600E-2,3.733910993E-2,1.979965419E-1,-1.191949919E-1
8.329657700E-2,3.184132650E-2,1.766162813E-1,-1.228601784E-1
8.570756700E-2,2.817613818E-2,1.558468789E-1,-1.277471036E-1
8.811860900E-2,2.328922041E-2,1.332448870E-1,-1.332448870E-1
9.052959800E-2,1.901316643E-2,1.118646115E-1,-1.362992078E-1
9.294064000E-2,1.840230078E-2,9.048434347E-2,-1.405752599E-1
9.535168200E-2,1.473711245E-2,6.971494108E-2,-1.436295807E-1
9.776267100E-2,1.290451828E-2,5.016727000E-2,-1.479056329E-1
1.001737130E-1,9.850194678E-3,2.939786762E-2,-1.503490955E-1
1.025847020E-1,9.239329956E-3,1.229365356E-2,-1.527925581E-1
1.049957440E-1,9.239329956E-3,-3.588830587E-3,-1.546251476E-1
1.074067340E-1,7.406735327E-3,-1.886045001E-2,-1.570686102E-1
1.098177750E-1,8.628465235E-3,-3.168861195E-2,-1.601229310E-1
1.122288170E-1,6.795870606E-3,-4.390590638E-2,-1.625663936E-1
1.146398070E-1,6.185005885E-3,-5.306887627E-2,-1.656207144E-1
1.170508480E-1,4.963276442E-3,-6.162098423E-2,-1.686750352E-1
1.194618380E-1,3.741546767E-3,-6.772962958E-2,-1.711184978E-1
1.218728800E-1,5.574141163E-3,-7.139482349E-2,-1.753945500E-1
1.242839210E-1,6.185005885E-3,-7.444914430E-2,-1.784488708E-1
1.266949110E-1,9.850194678E-3,-7.506000996E-2,-1.827249229E-1
1.291059520E-1,1.351538301E-2,-7.506000996E-2,-1.888335794E-1
1.315169420E-1,1.779143699E-2,-7.322741300E-2,-1.937204897E-1
1.339279840E-1,2.023489587E-2,-6.895136088E-2,-1.992182732E-1
1.363389730E-1,2.451094985E-2,-6.467530876E-2,-2.053269297E-1
1.387500150E-1,2.634354308E-2,-5.917752534E-2,-2.108247131E-1
1.411610570E-1,3.245219216E-2,-5.306887627E-2,-2.157116234E-1
1.435720460E-1,3.611737862E-2,-4.696023092E-2,-2.218202800E-1
1.459830880E-1,4.100430012E-2,-3.840812296E-2,-2.267071903E-1
1.483940770E-1,4.711294547E-2,-2.863428742E-2,-2.291506529E-1
1.508051190E-1,5.261072889E-2,-1.947131567E-2,-2.340375632E-1
1.532161090E-1,5.994110554E-2,-1.091920771E-2,-2.401462197E-1
1.556271500E-1,6.360629201E-2,7.635809743E-5,-2.444222718E-1
1.580381920E-1,6.910407543E-2,1.168278884E-2,-2.480874658E-1
1.604491820E-1,7.215840369E-2,2.206749097E-2,-2.517526448E-1
1.628602230E-1,7.582359016E-2,3.184132650E-2,-2.548069656E-1
1.652712130E-1,7.826705277E-2,4.466948658E-2,-2.566395700E-1
1.676822550E-1,7.887791097E-2,5.505418777E-2,-2.578612864E-1
1.700932960E-1,8.071050793E-2,6.482802331E-2,-2.566395700E-1
1.725042860E-1,7.948877662E-2,7.460185885E-2,-2.560287118E-1
1.749153270E-1,7.765618712E-2,8.498656005E-2,-2.541961074E-1
1.773263170E-1,7.582359016E-2,9.353867173E-2,-2.505309284E-1
1.797373590E-1,7.399099320E-2,1.027016416E-1,-2.480874658E-1
1.821483480E-1,7.032580674E-2,1.112537459E-1,-2.432005405E-1
1.845593900E-1,6.604975462E-2,1.191949919E-1,-2.419788092E-1
1.869704320E-1,5.994110554E-2,1.271362305E-1,-2.395353466E-1
1.893814210E-1,5.505418777E-2,1.332448870E-1,-2.346484363E-1
1.917924630E-1,4.955640435E-2,1.399643868E-1,-2.328158319E-1
1.942034520E-1,4.283689335E-2,1.436295807E-1,-2.303723842E-1
1.966144940E-1,3.794997558E-2,1.479056329E-1,-2.279289216E-1
1.990254840E-1,3.245219216E-2,1.497382224E-1,-2.254854590E-1
2.014365250E-1,2.573267929E-2,1.509599537E-1,-2.218202800E-1
2.038475670E-1,1.962403022E-2,1.509599537E-1,-2.181550860E-1
2.062585570E-1,1.412624773E-2,1.491273642E-1,-2.151007652E-1
2.086695980E-1,8.017600514E-3,1.454621702E-1,-2.071595192E-1
