"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.317141500E-2,0.000000000E0,0.000000000E0,0.000000000E0
8.799344600E-2,5.913078785E-3,2.274513245E-3,2.582836151E-2
9.281547700E-2,2.532672882E-2,1.160764694E-2,4.538345337E-2
9.763750900E-2,5.287641287E-2,1.376247406E-2,4.240226746E-2
1.024595400E-1,6.212502718E-2,1.167631149E-2,2.364253998E-2
1.072816230E-1,3.143292665E-2,8.517742157E-3,2.784585953E-2
1.121036540E-1,3.557503223E-2,1.024580002E-2,3.932094574E-2
1.169256860E-1,5.751574039E-2,2.570104599E-2,6.260967255E-2
1.217477170E-1,5.331975222E-2,3.141975403E-2,7.570934296E-2
1.265697480E-1,5.322974920E-2,3.588199615E-2,1.013507843E-1
1.313918320E-1,2.523154020E-2,3.805828094E-2,9.528017044E-2
1.362138630E-1,-2.705752850E-3,4.364109039E-2,5.760383606E-2
1.410358940E-1,-4.756671190E-2,4.346466064E-2,8.953094482E-3
1.458579250E-1,-6.872409582E-2,3.798580170E-2,-2.173566818E-2
1.506799570E-1,-6.451457739E-2,2.727413177E-2,-3.356456757E-2
1.555019880E-1,-1.831412315E-2,-7.556438446E-3,-3.786087036E-2
1.603240710E-1,1.270943880E-2,-4.623031616E-2,-6.660747528E-2
1.651461020E-1,4.679435492E-2,-8.770275116E-2,-9.484624863E-2
1.699681340E-1,8.297228813E-2,-1.026420593E-1,-1.000308990E-1
1.747901650E-1,9.532481432E-2,-1.105613708E-1,-1.083540916E-1
1.796121960E-1,8.961176872E-2,-1.117630005E-1,-1.163020134E-1
1.844342790E-1,8.377742767E-2,-1.281290054E-1,-1.308460236E-1
1.892563110E-1,7.219171524E-2,-1.247377396E-1,-1.185150146E-1
1.940783420E-1,6.527298689E-2,-1.182875633E-1,-6.215333939E-2
1.989003730E-1,6.971091032E-2,-9.964132309E-2,-3.913831711E-2
2.037224040E-1,5.057060719E-2,-6.683778763E-2,-3.319978714E-2
2.085444360E-1,2.470970154E-2,-5.705070496E-2,-2.305364609E-2
2.133665190E-1,-1.373863220E-2,-5.890703201E-2,-2.973175049E-2
2.181885500E-1,-5.290222168E-2,-6.147050858E-2,-5.280017853E-2
2.230105820E-1,-7.568317652E-2,-6.353712082E-2,-5.132198334E-2
2.278326130E-1,-7.229828835E-2,-7.440710068E-2,-2.838325500E-2
2.326546440E-1,-1.108390093E-2,-7.993888855E-2,3.552436829E-4
2.374767270E-1,4.722923040E-2,-8.030891418E-2,-9.298801422E-3
2.422987590E-1,7.020831108E-2,-6.765556335E-2,-9.680747986E-3
2.471207900E-1,5.884736776E-2,-8.999538422E-2,9.418487549E-3
2.519428210E-1,1.744693518E-2,-1.093397141E-1,1.042032242E-2
2.567648520E-1,-6.753921509E-3,-1.327557564E-1,-2.367496490E-2
2.615868840E-1,-9.707570076E-3,-1.241812706E-1,-3.946065903E-2
2.664089670E-1,-4.685401917E-3,-1.218118668E-1,-5.365753174E-2
2.712309980E-1,1.061439514E-3,-1.138443947E-1,-7.446956635E-2
2.760530290E-1,2.925872803E-3,-1.226601601E-1,-9.350538254E-2
2.808750610E-1,3.351151943E-3,-1.221995354E-1,-1.073002815E-1
2.856970920E-1,-7.000863552E-3,-1.091527939E-1,-1.089935303E-1
2.905191230E-1,-1.974713802E-2,-8.736801147E-2,-9.411811829E-2
2.953412070E-1,-2.550059557E-2,-6.631851196E-2,-5.722761154E-2
3.001632380E-1,-3.735202551E-2,-1.440048218E-2,-1.745939255E-2
3.049852690E-1,-3.172188997E-2,2.687025070E-2,9.874820709E-3
3.098073000E-1,-7.814711332E-2,6.132841110E-2,2.499771118E-2
3.146293840E-1,-1.099302173E-1,8.683776855E-2,4.102945328E-2
3.194514150E-1,-1.251960397E-1,8.850383759E-2,3.201580048E-2
3.242734460E-1,-1.582932472E-1,1.020455360E-1,4.882049561E-2
3.290954770E-1,-1.536899209E-1,1.049151421E-1,8.043241501E-2
3.339175090E-1,-1.260563135E-1,9.266853333E-2,9.956359863E-2
3.387395400E-1,-8.158820868E-2,9.251546860E-2,9.948301315E-2
3.435615710E-1,-6.507402658E-2,9.490633011E-2,9.223031998E-2
3.483836540E-1,-4.303961992E-2,8.684206009E-2,8.618688583E-2
3.532056860E-1,-3.666365147E-2,8.845329285E-2,5.432415009E-2
3.580277170E-1,-3.745794296E-2,6.074476242E-2,2.178144455E-2
3.628497480E-1,-4.293853045E-2,4.536151886E-2,-3.849935532E-2
3.676717790E-1,-4.125380516E-2,4.206752777E-2,-5.077648163E-2
3.724938630E-1,-5.606651306E-2,4.937887192E-2,-6.399345398E-2
3.773158940E-1,-8.833211660E-2,7.293319702E-2,-5.452537537E-2
3.821379250E-1,-1.165940166E-1,8.873128891E-2,-1.782655716E-2
3.869599570E-1,-1.055375338E-1,9.924221039E-2,9.207725525E-3
3.917819880E-1,-7.225406170E-2,9.039449692E-2,-5.047321320E-3
3.966040190E-1,-4.524141550E-2,6.953144073E-2,-2.460241318E-2
4.014261020E-1,-4.680806398E-2,5.804920197E-2,-1.286458969E-2
4.062481340E-1,-4.545629025E-3,4.050636292E-2,-3.314495087E-3
4.110701650E-1,5.038410425E-2,5.159378052E-4,-2.895832062E-2
4.158921960E-1,1.072971225E-1,-3.671455383E-2,-4.343223572E-2
4.207142270E-1,1.461441815E-1,-7.945013046E-2,-3.396606445E-2
4.255363110E-1,1.542613208E-1,-1.110548973E-1,-1.981925964E-2
4.303583420E-1,1.698531806E-1,-1.233143806E-1,-1.767826080E-2
4.351803730E-1,1.939705610E-1,-1.199502945E-1,-2.038431168E-2
4.400024040E-1,1.827555895E-1,-1.222767830E-1,-2.801084518E-2
4.448244360E-1,1.768226624E-1,-1.124691963E-1,-1.455926895E-2
4.496464670E-1,1.393195987E-1,-1.035742760E-1,-9.925842285E-3
4.544685500E-1,1.084208190E-1,-7.780838013E-2,-4.598617554E-3
4.592905820E-1,7.093828917E-2,-4.371547699E-2,-1.151752472E-2
4.641126130E-1,5.294269323E-2,-2.378129959E-2,4.858493805E-3
4.689346440E-1,5.878424644E-2,-2.495765686E-3,1.827335358E-2
4.737566750E-1,4.338383675E-2,5.866050720E-3,4.897117615E-4
4.785787070E-1,5.065649748E-2,4.960060120E-3,3.928184509E-3
4.834007900E-1,4.131549597E-2,2.906799316E-2,6.866455078E-5
4.882228210E-1,2.978259325E-2,1.631641388E-2,1.156187057E-2
4.930448520E-1,2.905762196E-2,8.442878723E-3,5.192279816E-3
4.978668840E-1,2.126961946E-2,4.114151001E-3,-2.939558029E-2
5.026889150E-1,3.967481852E-2,-1.094150543E-2,-4.217195511E-2
5.075109460E-1,3.667354584E-2,-2.722501755E-2,-3.685712814E-2
5.123330290E-1,1.008927822E-2,-3.420352936E-3,-3.248691559E-2
5.171550610E-1,-2.093303204E-2,-1.099586487E-2,-8.904933929E-3
5.219770920E-1,-5.291265249E-2,1.193046570E-3,4.169940948E-3
5.267991230E-1,-7.049041986E-2,1.171398163E-2,-2.518177032E-2
5.316211540E-1,-1.081994176E-1,1.590967178E-2,-3.147220612E-2
5.364431860E-1,-1.350463033E-1,4.222917557E-2,-2.083396912E-2
5.412652690E-1,-1.428908706E-1,6.803226471E-2,1.950550079E-2
5.460873000E-1,-1.425660849E-1,7.083177567E-2,3.596735001E-2
5.509093320E-1,-1.080018878E-1,7.106637955E-2,5.715990067E-2
5.557313630E-1,-8.575505018E-2,9.133434296E-2,6.520748138E-2
5.605533940E-1,-6.369143724E-2,8.059501648E-2,6.135892868E-2
5.653754770E-1,-4.301995039E-2,7.472991943E-2,6.582927704E-2
5.701975090E-1,-2.848464251E-2,6.551694870E-2,4.525089264E-2
5.750195400E-1,-3.189355135E-2,7.670593262E-2,1.405715942E-2
5.798415710E-1,-4.833376408E-2,6.552648544E-2,-2.851963043E-3
