"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.721063100E-2,0.000000000E0,0.000000000E0,0.000000000E0
9.203255800E-2,9.141564369E-4,9.281158447E-3,-3.728723526E-2
9.685448500E-2,-6.850481033E-3,2.015972137E-2,-6.979131699E-2
1.016764640E-1,-8.112162352E-3,2.715826035E-2,-7.696485519E-2
1.064983910E-1,-3.432458639E-2,2.486181259E-2,-7.170963287E-2
1.113203180E-1,-5.504018068E-2,1.700162888E-2,-1.062498093E-1
1.161422980E-1,-9.897834063E-2,4.268264771E-2,-1.675262451E-1
1.209642250E-1,-1.236257255E-1,3.083467484E-2,-2.222261429E-1
1.257861520E-1,-1.113788635E-1,-2.020692825E-2,-2.377948761E-1
1.306081310E-1,-7.949653268E-2,-7.763910294E-2,-2.412867546E-1
1.354300580E-1,-5.946287513E-2,-1.474637985E-1,-2.332863808E-1
1.402519850E-1,-3.362002969E-2,-1.749300957E-1,-1.868329048E-1
1.450739120E-1,-4.298052192E-2,-1.625313759E-1,-1.438207626E-1
1.498958910E-1,-3.528746963E-2,-1.284999847E-1,-7.678842545E-2
1.547178180E-1,-3.650316596E-2,-8.513689041E-2,-2.354812622E-2
1.595397460E-1,-4.053190351E-2,-3.826141357E-2,3.064489365E-2
1.643617250E-1,-6.190308928E-2,-1.471328735E-2,8.051347733E-2
1.691836520E-1,-7.808226347E-2,1.070737839E-2,1.119251251E-1
1.740055790E-1,-9.597149491E-2,1.998853683E-2,1.362633705E-1
1.788275580E-1,-8.256116509E-2,1.969623566E-2,1.437773705E-1
1.836494850E-1,-5.294202268E-2,1.595354080E-2,1.625924110E-1
1.884714120E-1,-3.520280123E-2,-5.942821503E-3,1.717009544E-1
1.932933910E-1,-1.722985506E-2,-1.558876038E-2,2.126770020E-1
1.981153180E-1,-1.598057151E-2,-1.130247116E-2,2.315001488E-1
2.029372460E-1,-2.833577991E-2,8.585453033E-3,2.416296005E-1
2.077591730E-1,-4.436135292E-2,3.672599792E-2,2.204737663E-1
2.125811520E-1,-3.162860870E-2,4.297924042E-2,1.875691414E-1
2.174030790E-1,7.903277874E-4,4.097747803E-2,1.410636902E-1
2.222250060E-1,2.111209929E-2,4.380702972E-2,9.872627258E-2
2.270469850E-1,7.696825266E-2,3.169536591E-2,2.219390869E-2
2.318689120E-1,1.368938535E-1,2.489995956E-2,-1.452875137E-2
2.366908390E-1,1.679728776E-1,2.318620682E-2,-4.177904129E-2
2.415128180E-1,1.984719634E-1,3.907585144E-2,-3.791809082E-2
2.463347460E-1,2.048146874E-1,5.570077896E-2,-4.228115082E-2
2.511566730E-1,2.026335299E-1,5.786848068E-2,-2.799177170E-2
2.559786000E-1,1.817327440E-1,6.221342087E-2,-1.653194427E-2
2.608005790E-1,1.742652655E-1,7.920026779E-2,-1.359033585E-2
2.656225060E-1,1.523369551E-1,7.471752167E-2,-4.992485046E-3
2.704444330E-1,1.213907897E-1,8.425903320E-2,1.492452621E-2
2.752664120E-1,7.023748755E-2,1.192011833E-1,1.444768906E-2
2.800883390E-1,5.784171820E-2,1.030445099E-1,4.187011719E-2
2.849102660E-1,-7.164478302E-4,9.997606277E-2,8.713340759E-2
2.897322460E-1,-7.281851768E-2,8.977222443E-2,1.393074989E-1
2.945541730E-1,-1.429216415E-1,8.179712296E-2,1.899557114E-1
2.993761000E-1,-2.192483842E-1,8.297443390E-2,2.461390495E-1
3.041980790E-1,-2.759962082E-1,5.326032639E-2,2.574133873E-1
3.090200060E-1,-3.264800310E-1,4.841852188E-2,2.681670189E-1
3.138419330E-1,-3.568120003E-1,3.400230408E-2,2.597250938E-1
3.186638600E-1,-3.838410974E-1,-6.054401398E-3,2.279410362E-1
3.234858390E-1,-3.829568326E-1,-4.303216934E-2,1.792154312E-1
3.283077660E-1,-3.874219358E-1,-8.747768402E-2,1.092433929E-1
3.331296930E-1,-3.456117511E-1,-1.215219498E-1,4.670238495E-2
