"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.009065320E-1,0.000000000E0,0.000000000E0,0.000000000E0
1.057285640E-1,8.719190955E-3,4.604816437E-3,3.593969345E-2
1.105505950E-1,-3.367230296E-3,-3.249645233E-3,5.881547928E-2
1.153726260E-1,1.039087772E-2,-6.558895111E-3,4.984760284E-2
1.201946570E-1,-3.692507744E-5,-7.481575012E-3,6.203413010E-2
1.250166890E-1,-9.823225439E-3,-9.386062622E-3,7.263231277E-2
1.298387200E-1,1.814402640E-3,-8.094787598E-3,7.140636444E-2
1.346607510E-1,4.742265493E-2,-1.235198975E-2,6.346511841E-2
1.394827820E-1,7.991662621E-2,-1.521873474E-2,5.280494690E-3
1.443048140E-1,2.567195892E-2,2.314710617E-2,-1.010541916E-1
1.491268450E-1,-1.156436205E-1,8.679485321E-2,-1.424093246E-1
1.539488760E-1,-2.200287879E-1,1.132454872E-1,-1.203126907E-1
1.587709070E-1,-2.410245389E-1,1.453433037E-1,-7.775115967E-2
1.635929390E-1,-1.858220398E-1,1.483631134E-1,-7.636547089E-3
1.684149700E-1,-1.168917120E-1,1.563720703E-1,7.349395752E-2
1.732370010E-1,-7.147955149E-2,1.655464172E-1,1.736292839E-1
1.780589800E-1,-3.767727315E-2,2.106575966E-1,2.214999199E-1
1.828810120E-1,-5.880445242E-2,2.548699379E-1,2.417621613E-1
1.877030430E-1,-8.229370415E-2,2.665357590E-1,2.949862480E-1
1.925250740E-1,-9.566962719E-2,2.620072365E-1,3.286213875E-1
1.973471050E-1,-1.177828461E-1,2.773613930E-1,2.843470573E-1
2.021691370E-1,-1.596852839E-1,2.819504738E-1,2.465591431E-1
2.069911680E-1,-2.069429010E-1,3.013329506E-1,2.720208168E-1
2.118131990E-1,-2.228032649E-1,2.878289223E-1,2.917165756E-1
2.166352300E-1,-2.371611297E-1,2.953715324E-1,2.933812141E-1
2.214572620E-1,-1.970711946E-1,2.805151939E-1,2.949829102E-1
2.262792930E-1,-1.963278353E-1,2.507991791E-1,2.885470390E-1
2.311013240E-1,-2.184115946E-1,2.229390144E-1,2.187938690E-1
2.359233550E-1,-2.566909790E-1,1.852273941E-1,1.443018913E-1
2.407453870E-1,-2.956381440E-1,1.529798508E-1,7.075214386E-2
2.455674180E-1,-3.143317699E-1,1.180224419E-1,-9.187221527E-3
2.503894490E-1,-3.005608320E-1,7.355260849E-2,-7.824611664E-2
2.552114800E-1,-2.641666234E-1,-2.668905258E-2,-1.008615494E-1
2.600334600E-1,-1.882424653E-1,-7.667970657E-2,-8.894157410E-2
2.648554910E-1,-9.450200200E-2,-1.348619461E-1,-6.670951843E-2
2.696775220E-1,-1.565620303E-2,-1.569137573E-1,-8.799076080E-3
2.744995530E-1,4.066166282E-2,-1.997313499E-1,6.530857086E-2
2.793215850E-1,5.531257391E-2,-1.894335747E-1,1.052026749E-1
2.841436160E-1,5.145901442E-2,-1.691989899E-1,8.720541000E-2
2.889656470E-1,2.465409040E-2,-1.776590347E-1,9.197139740E-2
2.937876780E-1,-4.949986935E-3,-1.721978188E-1,1.377096176E-1
2.986097100E-1,-3.403529525E-2,-1.263051033E-1,1.803059578E-1
3.034317410E-1,-6.046557426E-2,-1.015777588E-1,2.069640160E-1
3.082537720E-1,-6.925350428E-2,-1.232614517E-1,1.795125008E-1
3.130758030E-1,-6.448581815E-2,-1.258902550E-1,1.317524910E-1
3.178978350E-1,-6.176123023E-2,-1.284971237E-1,3.119659424E-2
3.227198660E-1,-5.647587776E-2,-1.052355766E-1,-4.276657104E-2
3.275418970E-1,-2.409890294E-2,-1.209769249E-1,-7.091951370E-2
3.323639280E-1,-7.480829954E-3,-1.339440346E-1,-9.404850006E-2
3.371859600E-1,6.176102161E-2,-1.535305977E-1,-1.252160072E-1
3.420079910E-1,1.229014695E-1,-1.877398491E-1,-2.077703476E-1
3.468299700E-1,1.926005781E-1,-2.033796310E-1,-2.528562546E-1
3.516520010E-1,2.227536291E-1,-2.359852791E-1,-2.870640755E-1
3.564740320E-1,2.434703112E-1,-2.476558685E-1,-2.801136971E-1
3.612960640E-1,2.255591303E-1,-2.154073715E-1,-2.056026459E-1
3.661180950E-1,1.956082284E-1,-1.788401604E-1,-1.198472977E-1
3.709401260E-1,1.833061278E-1,-1.451807022E-1,-4.636573792E-2
3.757621570E-1,1.707954705E-1,-1.026635170E-1,6.938457489E-3
3.805841890E-1,1.476493776E-1,-6.197595596E-2,3.337097168E-2
3.854062200E-1,1.070338190E-1,-4.659605026E-2,3.810644150E-2
3.902282510E-1,8.468183875E-2,1.540660858E-3,4.977655411E-2
3.950502820E-1,6.990817189E-2,1.375150681E-2,3.640842438E-2
3.998723140E-1,5.217503011E-2,2.354860306E-2,2.904462814E-2
4.046943450E-1,5.418439209E-2,-3.157615662E-3,-6.582736969E-3
4.095163760E-1,8.175185323E-2,-1.982402802E-2,-4.653978348E-2
4.143384070E-1,1.100063622E-1,-5.365896225E-2,-1.191067696E-1
4.191604390E-1,1.202997416E-1,-8.543729782E-2,-2.215933800E-1
4.239824700E-1,9.989331663E-2,-1.044960022E-1,-3.112678528E-1
4.288045010E-1,8.216376603E-2,-1.169757843E-1,-3.222770691E-1
4.336264800E-1,5.999787152E-2,-1.348619461E-1,-2.957534790E-1
4.384485120E-1,4.030860960E-2,-1.227521896E-1,-2.722730637E-1
4.432705430E-1,5.002230406E-2,-9.050750732E-2,-2.446966171E-1
4.480925740E-1,3.889988363E-2,-6.452608109E-2,-1.822209358E-1
4.529146050E-1,1.411372423E-2,-1.170969009E-2,-1.124048233E-1
4.577366370E-1,-6.703898311E-3,5.217456818E-2,-6.829500198E-2
4.625586680E-1,-7.118935883E-2,1.045165062E-1,-1.407289505E-2
4.673806990E-1,-1.210893393E-1,1.230125427E-1,4.545211792E-2
4.722027300E-1,-1.816672087E-1,1.588454247E-1,7.837915421E-2
4.770247620E-1,-2.187052965E-1,1.810913086E-1,1.063156128E-1
4.818467930E-1,-2.385097295E-1,1.851592064E-1,1.281886101E-1
4.866688240E-1,-2.449378967E-1,2.019743919E-1,1.429142952E-1
4.914908550E-1,-2.345990837E-1,2.041325569E-1,1.459274292E-1
4.963128870E-1,-1.969636381E-1,1.800780296E-1,1.301956177E-1
5.011349180E-1,-1.654044092E-1,1.666698456E-1,1.433157921E-1
5.059569490E-1,-1.314622909E-1,1.353836060E-1,1.435928345E-1
5.107789280E-1,-1.056639701E-1,1.207461357E-1,1.134099960E-1
5.156009600E-1,-6.412173808E-2,1.142425537E-1,9.927606583E-2
5.204229910E-1,-3.280869126E-2,9.446096420E-2,8.093166351E-2
5.252450220E-1,-9.048074484E-3,9.586191177E-2,5.841541290E-2
5.300670530E-1,7.468089461E-3,8.512496948E-2,3.764724731E-2
5.348890850E-1,4.667450488E-2,8.732461929E-2,-1.579904556E-2
5.397111160E-1,7.529257238E-2,5.501651764E-2,-4.362487793E-2
5.445331470E-1,9.373404086E-2,4.774236679E-2,-5.794048309E-2
5.493551780E-1,6.781574339E-2,3.097677231E-2,-1.015772820E-1
5.541772100E-1,5.371132493E-2,1.444435120E-2,-1.317725182E-1
5.589992410E-1,5.028784275E-3,2.180242538E-2,-1.249823570E-1
5.638212720E-1,-3.409558535E-2,2.912330627E-2,-9.698057175E-2
5.686433030E-1,-7.692809403E-2,6.599092484E-2,-5.861568451E-2
5.734653350E-1,-1.115971804E-1,1.321334839E-1,-4.198169708E-2
5.782873660E-1,-1.287988275E-1,1.372022629E-1,5.310058594E-3
5.831093970E-1,-1.335107982E-1,1.114578247E-1,2.369356155E-2
5.879314280E-1,-1.283391714E-1,8.353328705E-2,4.790353775E-2
5.927534070E-1,-1.062294245E-1,5.700159073E-2,6.366968155E-2
5.975754390E-1,-4.716628790E-2,3.891324997E-2,6.045293808E-2
6.023974700E-1,6.969764829E-3,-1.346397400E-2,5.619335175E-2
6.072195010E-1,6.940597296E-2,-8.084058762E-2,1.059722900E-2
6.120415320E-1,1.151951551E-1,-1.368541718E-1,-4.885292053E-2
6.168635640E-1,1.469940841E-1,-1.733012199E-1,-1.054658890E-1
6.216855950E-1,1.588325500E-1,-1.938400269E-1,-1.226124763E-1
6.265076260E-1,1.271007955E-1,-2.045569420E-1,-1.528091431E-1
6.313296570E-1,1.042913869E-1,-1.983361244E-1,-1.699519157E-1
6.361516890E-1,1.056835651E-1,-2.002058029E-1,-1.528387070E-1
6.409737200E-1,9.887021035E-2,-2.232017517E-1,-1.123838425E-1
6.457957510E-1,1.098980010E-1,-2.102365494E-1,-7.130193710E-2
6.506177820E-1,1.136457250E-1,-1.698632240E-1,-8.183765411E-2
6.554398140E-1,7.439737022E-2,-1.211757660E-1,-1.151981354E-1
6.602618450E-1,1.376298070E-2,-9.501743317E-2,-1.155056953E-1
6.650838760E-1,-5.410762131E-2,-4.621505737E-2,-7.227325439E-2
6.699059070E-1,-1.079741567E-1,-1.170873642E-2,-4.045629501E-2
6.747278870E-1,-1.325473785E-1,8.573532104E-3,-2.939653397E-2
6.795499180E-1,-1.412801892E-1,3.608226776E-2,-1.161098480E-2
6.843719490E-1,-1.651316732E-1,3.630018234E-2,4.590511322E-3
6.891939800E-1,-1.706935167E-1,3.308820724E-2,2.524852753E-2
6.940160120E-1,-1.949078739E-1,5.149126053E-2,-1.384210587E-2
6.988380430E-1,-2.172943503E-1,7.465648651E-2,-4.092979431E-2
7.036600740E-1,-2.401679456E-1,6.810569763E-2,-5.489444733E-2
7.084821050E-1,-2.241543680E-1,5.454587936E-2,-5.457115173E-2
7.133041370E-1,-1.741162837E-1,3.044652939E-2,-6.970357895E-2
7.181261680E-1,-1.150143892E-1,2.073049545E-2,-6.566953659E-2
7.229481990E-1,-5.130821466E-2,1.930809021E-2,-5.919361115E-2
7.277702300E-1,1.600490510E-2,1.412487030E-2,-2.762746811E-2
7.325922620E-1,8.704975247E-2,4.004955292E-3,6.300449371E-3
7.374142930E-1,1.405118704E-1,-4.758834839E-4,4.152584076E-2
7.422363240E-1,1.601550728E-1,-2.901363373E-2,6.972551346E-2
7.470583550E-1,1.389883012E-1,-2.797889709E-2,6.362676620E-2
7.518803350E-1,7.962223887E-2,-2.125453949E-2,1.748991013E-2
7.567023660E-1,1.900081336E-2,2.568197250E-2,-3.411102295E-2
7.615243970E-1,-5.376940966E-2,4.726886749E-2,-5.200815201E-2
7.663464280E-1,-1.411861330E-1,1.019115448E-1,-5.434274673E-2
7.711684600E-1,-2.052852958E-1,1.620459557E-1,-2.938175201E-2
7.759904910E-1,-2.180136740E-1,2.026243210E-1,2.272653580E-2
7.808125220E-1,-2.214086354E-1,2.250165939E-1,5.783557892E-2
7.856345530E-1,-2.072645724E-1,2.399182320E-1,9.164047241E-2
7.904565850E-1,-1.876958758E-1,2.403764725E-1,5.523490906E-2
7.952786160E-1,-1.638624072E-1,2.122850418E-1,1.444768906E-2
8.001006470E-1,-1.560008228E-1,1.855754852E-1,-9.360313416E-3
