"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.031049100E-2,1.052841991E-1,7.211967468E0,7.044469833E0
3.272205300E-2,1.004985496E-1,7.188039303E0,6.982256413E0
3.513304300E-2,9.332008660E-2,7.197610378E0,6.932007313E0
3.754408500E-2,9.571290761E-2,7.185646534E0,6.867401123E0
3.995507400E-2,1.004985496E-1,7.171289444E0,6.807580471E0
4.236611600E-2,1.028913707E-1,7.154539585E0,6.774080753E0
4.477710500E-2,1.292124242E-1,7.121040344E0,6.752545357E0
4.718814700E-2,1.507478207E-1,7.104290485E0,6.750152588E0
4.959913700E-2,1.627119333E-1,7.066005230E0,6.747759819E0
5.201017800E-2,1.914258152E-1,7.049255371E0,6.733402729E0
5.442116800E-2,2.201396823E-1,7.022934437E0,6.711867332E0
5.683215700E-2,2.488535494E-1,6.996613503E0,6.702296257E0
5.924319900E-2,2.656033039E-1,6.958328247E0,6.699903488E0
6.165424100E-2,2.919243574E-1,6.912864685E0,6.707081795E0
6.406523000E-2,3.110669553E-1,6.912864685E0,6.716653347E0
6.647622000E-2,3.278166950E-1,6.879364967E0,6.699903488E0
6.888726200E-2,3.206382394E-1,6.862615108E0,6.697510719E0
7.129825100E-2,3.373879790E-1,6.848258495E0,6.702296257E0
7.370929300E-2,3.206382394E-1,6.869793892E0,6.690331936E0
7.612028200E-2,2.871387303E-1,6.874579430E0,6.687939167E0
7.853132400E-2,2.632105052E-1,6.857829571E0,6.687939167E0
8.094231400E-2,2.416750938E-1,6.865008354E0,6.702296257E0
8.335335500E-2,1.890329868E-1,6.874579430E0,6.699903488E0
8.576434500E-2,1.603191197E-1,6.893722057E0,6.702296257E0
8.817538700E-2,1.339980662E-1,6.915257454E0,6.709474564E0
9.058637600E-2,1.268195957E-1,6.915257454E0,6.726224422E0
9.299741800E-2,1.172483116E-1,6.912864685E0,6.745367050E0
9.540840700E-2,1.244267747E-1,6.915257454E0,6.778866768E0
9.781939700E-2,1.531406492E-1,6.934400082E0,6.800402164E0
1.002304390E-1,1.579262912E-1,6.936792850E0,6.855436802E0
1.026414280E-1,1.722832322E-1,6.936792850E0,6.891329288E0
1.050524700E-1,1.555334777E-1,6.943971157E0,6.917650223E0
1.074634600E-1,1.339980662E-1,6.932007313E0,6.948757172E0
1.098745010E-1,1.459621787E-1,6.920042992E0,6.975078106E0
1.122854910E-1,1.459621787E-1,6.915257454E0,6.975078106E0
1.146965320E-1,1.459621787E-1,6.915257454E0,6.975078106E0
1.171075220E-1,1.292124242E-1,6.900900364E0,7.001399040E0
1.195185640E-1,1.172483116E-1,6.912864685E0,7.015756130E0
1.219295530E-1,1.076770201E-1,6.896114826E0,7.032505512E0
1.243405950E-1,8.853443712E-2,6.898507595E0,7.046862602E0
1.267515850E-1,8.853443712E-2,6.891329288E0,7.056434155E0
1.291626260E-1,1.028913707E-1,6.891329288E0,7.056434155E0
1.315736160E-1,1.268195957E-1,6.888936520E0,7.058826923E0
1.339846570E-1,1.387837082E-1,6.869793892E0,7.068397999E0
1.363956470E-1,1.603191197E-1,6.869793892E0,7.044469833E0
1.388066890E-1,1.579262912E-1,6.867401123E0,6.979863644E0
1.412176780E-1,1.244267747E-1,6.884150982E0,6.924828529E0
1.436286680E-1,5.742774159E-2,6.922435760E0,6.876972198E0
1.460397100E-1,-3.349951655E-2,6.958328247E0,6.850651264E0
1.484506990E-1,-1.244267747E-1,6.979863644E0,6.853044033E0
1.508617410E-1,-1.986042857E-1,6.984649181E0,6.862615108E0
1.532727300E-1,-2.416750938E-1,7.013363361E0,6.876972198E0
1.556837720E-1,-2.823530734E-1,7.037291527E0,6.893722057E0
1.580947620E-1,-2.727817893E-1,7.034898758E0,6.932007313E0
1.605058030E-1,-2.536391914E-1,7.039684296E0,6.965506554E0
1.629167930E-1,-2.512463629E-1,7.046862602E0,7.013363361E0
1.653278350E-1,-2.081755698E-1,7.051648140E0,7.056434155E0
1.677388240E-1,-2.057827413E-1,7.058826923E0,7.109076023E0
