"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.867360000E-2,1.148554832E-1,-6.867401123E0,6.920042992E0
3.108219300E-2,9.571290761E-2,-6.853044033E0,6.934400082E0
3.349318300E-2,6.939185411E-2,-6.833901405E0,6.972685337E0
3.590417300E-2,6.460621208E-2,-6.833901405E0,6.979863644E0
3.831511000E-2,8.135596663E-2,-6.829115868E0,6.996613503E0
4.072610000E-2,5.982056633E-2,-6.821937561E0,7.010970116E0
4.313708900E-2,5.024927482E-2,-6.819544315E0,7.027719975E0
4.554802700E-2,2.871387079E-2,-6.809973240E0,7.039684296E0
4.795901600E-2,2.632104978E-2,-6.812366009E0,7.054041386E0
5.037000600E-2,2.392822690E-2,-6.817151546E0,7.073183537E0
5.278094300E-2,2.392822690E-2,-6.838686943E0,7.089933395E0
5.519193300E-2,4.307080805E-2,-6.829115868E0,7.123433113E0
5.760287100E-2,5.503492057E-2,-6.848258495E0,7.147361279E0
6.001386000E-2,6.699903309E-2,-6.865008354E0,7.171289444E0
6.242485000E-2,7.896314561E-2,-6.886543751E0,7.209574699E0
6.483578700E-2,1.100698411E-1,-6.905686378E0,7.216753006E0
6.724677700E-2,1.411765367E-1,-6.924828529E0,7.226324558E0
6.965776600E-2,1.842473447E-1,-6.965506554E0,7.223931789E0
7.206870400E-2,2.440679073E-1,-6.982256413E0,7.223931789E0
7.447969300E-2,2.991028428E-1,-7.010970116E0,7.216753006E0
7.689068300E-2,3.493520916E-1,-7.003791809E0,7.197610378E0
7.930162100E-2,3.684946895E-1,-6.991827965E0,7.178467751E0
8.171261000E-2,4.019941986E-1,-6.991827965E0,7.161718369E0
8.412360000E-2,4.235295951E-1,-6.982256413E0,7.118647575E0
8.653453700E-2,4.211367965E-1,-6.979863644E0,7.087540627E0
8.894552700E-2,4.139583111E-1,-6.955935478E0,7.044469833E0
9.135651600E-2,4.163511395E-1,-6.955935478E0,7.013363361E0
9.376745400E-2,4.019941986E-1,-6.936792850E0,6.984649181E0
9.617844300E-2,4.139583111E-1,-6.932007313E0,6.970292568E0
9.858938100E-2,4.019941986E-1,-6.927221775E0,6.963113785E0
1.010003710E-1,3.900300860E-1,-6.924828529E0,6.960721016E0
1.034113600E-1,3.613162339E-1,-6.924828529E0,6.948757172E0
1.058223500E-1,3.613162339E-1,-6.932007313E0,6.922435760E0
1.082332870E-1,3.302095234E-1,-6.924828529E0,6.876972198E0
1.106442770E-1,2.967100143E-1,-6.900900364E0,6.836294174E0
1.130552140E-1,2.751746178E-1,-6.888936520E0,6.786045074E0
1.154662040E-1,2.536391914E-1,-6.896114826E0,6.742974281E0
1.178771930E-1,2.321037948E-1,-6.908079147E0,6.707081795E0
1.202881310E-1,2.392822653E-1,-6.934400082E0,6.690331936E0
1.226991210E-1,2.392822653E-1,-6.977470875E0,6.668796539E0
1.251101100E-1,2.512463629E-1,-7.003791809E0,6.652047157E0
1.275210480E-1,2.679961324E-1,-7.042077065E0,6.644868374E0
1.299320370E-1,2.703889608E-1,-7.094718933E0,6.625725746E0
1.323430270E-1,2.703889608E-1,-7.123433113E0,6.637690067E0
1.347539640E-1,2.895315289E-1,-7.152146816E0,6.652047157E0
1.371649540E-1,2.895315289E-1,-7.156932354E0,6.666403770E0
1.395759430E-1,2.751746178E-1,-7.149754047E0,6.671189308E0
1.419868810E-1,2.703889608E-1,-7.166503906E0,6.704689026E0
1.443978710E-1,2.679961324E-1,-7.154539585E0,6.738188744E0
1.468088080E-1,2.799602449E-1,-7.118647575E0,6.754938126E0
1.492197980E-1,2.751746178E-1,-7.106683254E0,6.781259537E0
1.516307870E-1,2.584248483E-1,-7.097112179E0,6.809973240E0
1.540417250E-1,2.656033039E-1,-7.066005230E0,6.836294174E0
1.564527140E-1,2.488535494E-1,-7.054041386E0,6.862615108E0
1.588637040E-1,2.368894368E-1,-7.039684296E0,6.888936520E0
1.612746410E-1,2.225325108E-1,-7.039684296E0,6.915257454E0
1.636856310E-1,2.105683982E-1,-7.022934437E0,6.932007313E0
1.660966210E-1,2.033899277E-1,-7.008577347E0,6.943971157E0
1.685075580E-1,1.866401732E-1,-7.010970116E0,6.963113785E0
1.709185480E-1,1.770688742E-1,-7.003791809E0,6.972685337E0
1.733295370E-1,1.842473447E-1,-7.003791809E0,6.975078106E0
1.757404750E-1,1.938186288E-1,-7.013363361E0,6.987041950E0
1.781514640E-1,2.057827413E-1,-7.003791809E0,7.001399040E0
1.805624540E-1,2.225325108E-1,-7.022934437E0,7.010970116E0
1.829733910E-1,2.249253243E-1,-7.032505512E0,7.013363361E0
1.853843810E-1,2.321037948E-1,-7.042077065E0,7.030112743E0
