"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.354817770E-1,-4.146244749E-2,1.143080741E-1,1.763872057E-2
2.378927140E-1,-4.329504073E-2,1.075885594E-1,1.214093715E-2
2.403037040E-1,-4.634936526E-2,9.720385820E-2,8.475748822E-3
2.427146930E-1,-4.696023092E-2,8.437569439E-2,2.367100911E-3
2.451256310E-1,-4.696023092E-2,6.910407543E-2,-3.741546767E-3
2.475366210E-1,-4.757109284E-2,5.199986324E-2,-9.850194678E-3
2.499476100E-1,-4.634936526E-2,3.367391974E-2,-1.595884189E-2
2.523585480E-1,-4.390590638E-2,1.718057133E-2,-2.267835476E-2
2.547695370E-1,-4.268417507E-2,7.635809743E-5,-2.939786762E-2
2.571804750E-1,-4.024071619E-2,-1.519526169E-2,-3.550651670E-2
2.595914640E-1,-3.962985426E-2,-2.924515121E-2,-4.161516204E-2
2.620024540E-1,-3.840812296E-2,-3.962985426E-2,-4.589121789E-2
2.644133910E-1,-3.596466407E-2,-4.696023092E-2,-5.077813566E-2
2.668243810E-1,-3.596466407E-2,-5.245801434E-2,-5.566505343E-2
2.692353710E-1,-3.352120519E-2,-5.429060757E-2,-5.871937796E-2
2.716463080E-1,-3.107774630E-2,-5.306887627E-2,-6.177370250E-2
2.740572980E-1,-3.107774630E-2,-5.123628303E-2,-6.543888897E-2
2.764682870E-1,-2.924515121E-2,-4.634936526E-2,-6.849320978E-2
2.788792250E-1,-2.741255611E-2,-4.146244749E-2,-7.276926935E-2
2.812902140E-1,-2.557996288E-2,-3.474293277E-2,-7.521272451E-2
2.837012040E-1,-2.252563834E-2,-3.046688065E-2,-7.704532146E-2
2.861121410E-1,-1.824958436E-2,-2.313650399E-2,-7.948877662E-2
2.885231310E-1,-1.519526169E-2,-1.886045001E-2,-8.071050793E-2
2.909341210E-1,-1.030834299E-2,-1.336266659E-2,-7.948877662E-2
2.933450580E-1,-3.588830587E-3,-9.697478265E-3,-7.765618712E-2
2.957560480E-1,2.519817324E-3,-6.643154658E-3,-7.399099320E-2
2.981670370E-1,8.628465235E-3,-2.977965865E-3,-7.093667239E-2
3.005779750E-1,1.718057133E-2,1.908952487E-3,-6.666062027E-2
3.029889640E-1,2.512181364E-2,5.574141163E-3,-6.299543381E-2
3.053999540E-1,3.061959706E-2,7.406735327E-3,-5.994110554E-2
3.078108910E-1,3.672824427E-2,1.107192412E-2,-5.444332212E-2
3.102218810E-1,4.283689335E-2,1.412624773E-2,-5.016727000E-2
3.126328180E-1,4.833467677E-2,1.595884189E-2,-4.528035223E-2
3.150438080E-1,5.199986324E-2,1.962403022E-2,-3.917170316E-2
3.174547980E-1,5.444332212E-2,2.084576152E-2,-3.489565104E-2
3.198657350E-1,5.688678101E-2,2.328922041E-2,-2.817613818E-2
3.222767250E-1,5.749764666E-2,2.512181364E-2,-2.206749097E-2
3.246877140E-1,5.871937796E-2,2.817613818E-2,-1.595884189E-2
3.270986520E-1,5.810851231E-2,3.245219216E-2,-9.850194678E-3
3.295096410E-1,5.688678101E-2,3.611737862E-2,-1.908952487E-3
3.319206310E-1,5.322159454E-2,3.856083751E-2,3.588830587E-3
3.343315680E-1,5.077813566E-2,4.100430012E-2,8.475748822E-3
3.367425580E-1,4.589121789E-2,4.222602770E-2,1.275180187E-2
3.391535480E-1,4.100430012E-2,4.405862093E-2,1.458439697E-2
3.415644850E-1,3.367391974E-2,4.528035223E-2,1.397353224E-2
3.439754750E-1,2.878700197E-2,4.650207981E-2,1.397353224E-2
