"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.561152500E-2,-5.216353536E-1,6.989434719E0,7.137789726E0
3.802022300E-2,-5.240281820E-1,6.970292568E0,7.140182972E0
4.043121300E-2,-5.120640397E-1,6.946363926E0,7.154539585E0
4.284225500E-2,-4.737788737E-1,6.915257454E0,7.161718369E0
4.525324400E-2,-4.091726840E-1,6.896114826E0,7.168896675E0
4.766428600E-2,-3.373879790E-1,6.900900364E0,7.173682213E0
5.007532700E-2,-2.847459018E-1,6.920042992E0,7.200003147E0
5.248631700E-2,-2.225325108E-1,6.953542709E0,7.221538544E0
5.489735900E-2,-1.579262912E-1,6.979863644E0,7.243073940E0
5.730834800E-2,-1.124626622E-1,6.996613503E0,7.286144733E0
5.971939000E-2,-9.571290761E-2,7.006184578E0,7.341179848E0
6.213038000E-2,-1.172483116E-1,7.015756130E0,7.403393269E0
6.454100500E-2,-1.124626622E-1,7.010970116E0,7.496713161E0
6.695246300E-2,-1.483550072E-1,7.030112743E0,7.578069210E0
6.936345200E-2,-1.555334777E-1,7.037291527E0,7.645068169E0
7.177449400E-2,-1.698904037E-1,7.044469833E0,7.680960655E0
7.418548400E-2,-1.770688742E-1,7.046862602E0,7.692924976E0
7.659652500E-2,-1.627119333E-1,7.061219692E0,7.707281590E0
7.900756700E-2,-1.722832322E-1,7.058826923E0,7.726424217E0
8.141855700E-2,-1.603191197E-1,7.042077065E0,7.721638680E0
8.382959800E-2,-1.627119333E-1,7.044469833E0,7.735995770E0
8.624058800E-2,-1.770688742E-1,7.042077065E0,7.735995770E0
8.865163000E-2,-1.938186288E-1,7.030112743E0,7.714460373E0
9.106261900E-2,-2.057827413E-1,7.003791809E0,7.688138962E0
9.347366100E-2,-2.081755698E-1,6.991827965E0,7.666603565E0
9.588470200E-2,-1.986042857E-1,6.972685337E0,7.618747234E0
9.829569200E-2,-2.249253243E-1,6.936792850E0,7.592426300E0
1.007067340E-1,-2.273181528E-1,6.905686378E0,7.551748276E0
1.031177230E-1,-2.201396823E-1,6.862615108E0,7.515855789E0
1.055287650E-1,-2.321037948E-1,6.831508636E0,7.463213921E0
1.079397550E-1,-2.344966233E-1,6.805187702E0,7.391428947E0
1.103507960E-1,-2.392822653E-1,6.759724140E0,7.317251682E0
1.127618380E-1,-2.273181528E-1,6.731009960E0,7.240681171E0
1.151728270E-1,-2.153540403E-1,6.709474564E0,7.176074982E0
1.175838690E-1,-2.105683982E-1,6.678368092E0,7.137789726E0
1.199948590E-1,-1.914258152E-1,6.640082836E0,7.118647575E0
1.224059000E-1,-1.866401732E-1,6.585047722E0,7.118647575E0
1.248169420E-1,-1.555334777E-1,6.558726788E0,7.128218651E0
1.272279320E-1,-1.387837082E-1,6.541976929E0,7.128218651E0
1.296389730E-1,-1.172483116E-1,6.525227547E0,7.113861561E0
1.320499630E-1,-8.374879509E-2,6.503692150E0,7.077969551E0
1.344610050E-1,-7.417750359E-2,6.498906136E0,7.063612461E0
1.368719940E-1,-6.699903309E-2,6.501298904E0,7.073183537E0
1.392830360E-1,-8.374879509E-2,6.501298904E0,7.097112179E0
1.416940770E-1,-9.571290761E-2,6.525227547E0,7.133004189E0
1.441050670E-1,-9.810572863E-2,6.546762943E0,7.159325123E0
1.465161090E-1,-9.810572863E-2,6.561119556E0,7.202396393E0
1.489270980E-1,-1.100698411E-1,6.582654953E0,7.252645493E0
1.513381400E-1,-9.092725813E-2,6.594619274E0,7.293323517E0
1.537491300E-1,-9.092725813E-2,6.620940208E0,7.329215527E0
1.561601710E-1,-8.614161611E-2,6.637690067E0,7.367500782E0
1.585712130E-1,-1.100698411E-1,6.652047157E0,7.403393269E0
