"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.668589400E-2,-5.958128572E-1,6.845865726E0,7.271788120E0
3.909688400E-2,-5.934200287E-1,6.848258495E0,7.267002583E0
4.150792500E-2,-5.862415433E-1,6.836294174E0,7.255038261E0
4.391896700E-2,-5.862415433E-1,6.817151546E0,7.257431030E0
4.632995700E-2,-5.814558864E-1,6.807580471E0,7.228717327E0
4.874099800E-2,-5.742774606E-1,6.829115868E0,7.216753006E0
5.115198800E-2,-5.958128572E-1,6.824330330E0,7.195217609E0
5.356302900E-2,-6.340979934E-1,6.814758778E0,7.178467751E0
5.597407100E-2,-6.508477330E-1,6.819544315E0,7.168896675E0
5.838506100E-2,-6.819544435E-1,6.814758778E0,7.171289444E0
6.079610200E-2,-7.034898400E-1,6.826723099E0,7.161718369E0
6.320709200E-2,-7.178468108E-1,6.814758778E0,7.161718369E0
6.561813400E-2,-7.226324677E-1,6.838686943E0,7.156932354E0
6.802912300E-2,-7.202396393E-1,6.843472958E0,7.156932354E0
7.044016500E-2,-7.274180651E-1,6.862615108E0,7.164111137E0
7.285120700E-2,-7.393822074E-1,6.857829571E0,7.192824841E0
7.526219600E-2,-7.345965505E-1,6.855436802E0,7.185646534E0
7.767323800E-2,-7.202396393E-1,6.872186661E0,7.200003147E0
8.008427900E-2,-7.154539824E-1,6.874579430E0,7.226324558E0
8.249526900E-2,-7.130611539E-1,6.869793892E0,7.231110096E0
8.490631100E-2,-7.202396393E-1,6.881757736E0,7.262216568E0
8.731730000E-2,-6.843472719E-1,6.872186661E0,7.298109055E0
8.972834200E-2,-6.723831892E-1,6.891329288E0,7.314858913E0
9.213933200E-2,-6.675975323E-1,6.893722057E0,7.329215527E0
9.455037300E-2,-6.340979934E-1,6.896114826E0,7.334001541E0
9.696141500E-2,-6.149554253E-1,6.903293133E0,7.331608772E0
9.937240400E-2,-6.029912829E-1,6.900900364E0,7.324429989E0
1.017834460E-1,-5.958128572E-1,6.900900364E0,7.314858913E0
1.041944360E-1,-6.125625968E-1,6.893722057E0,7.322037220E0
1.066054770E-1,-6.340979934E-1,6.905686378E0,7.336394310E0
1.090165190E-1,-6.293123364E-1,6.903293133E0,7.343572617E0
1.114275090E-1,-5.958128572E-1,6.903293133E0,7.350750923E0
1.138385500E-1,-5.838487148E-1,6.912864685E0,7.367500782E0
1.162495400E-1,-5.790630579E-1,6.932007313E0,7.391428947E0
1.186605820E-1,-5.838487148E-1,6.929614544E0,7.401000500E0
1.210716230E-1,-5.718846321E-1,6.934400082E0,7.403393269E0
1.234826130E-1,-5.718846321E-1,6.939185619E0,7.441678524E0
1.258936540E-1,-5.694918036E-1,6.941578388E0,7.436892986E0
1.283046440E-1,-5.814558864E-1,6.946363926E0,7.446464062E0
1.307156860E-1,-6.077769399E-1,6.946363926E0,7.439285755E0
1.331267270E-1,-6.101697683E-1,6.963113785E0,7.422535896E0
1.355377170E-1,-6.317051649E-1,6.948757172E0,7.398607731E0
1.379487590E-1,-6.604190469E-1,6.958328247E0,7.367500782E0
1.403597480E-1,-6.747759581E-1,6.960721016E0,7.357929707E0
1.427707900E-1,-6.867401004E-1,6.955935478E0,7.336394310E0
1.451817790E-1,-6.963114142E-1,6.958328247E0,7.324429989E0
