"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.799830300E-2,3.130682046E-3,-1.037706509E-1,-2.328158319E-1
8.040929300E-2,-1.214093715E-2,-1.068249792E-1,-2.438113987E-1
8.282033500E-2,-2.619082667E-2,-1.080467105E-1,-2.548069656E-1
8.523132400E-2,-3.901898861E-2,-1.086575761E-1,-2.633590698E-1
8.764236600E-2,-5.551233515E-2,-1.080467105E-1,-2.731329203E-1
9.005335500E-2,-7.017309219E-2,-1.056032479E-1,-2.804632783E-1
9.246439700E-2,-8.239039034E-2,-1.019380614E-1,-2.884045243E-1
9.487538700E-2,-9.521854669E-2,-9.705114365E-2,-2.951240540E-1
9.728637600E-2,-1.074358448E-1,-8.972076327E-2,-3.036761582E-1
9.969741800E-2,-1.196531355E-1,-8.300124854E-2,-3.122282624E-1
1.021084070E-1,-1.288161129E-1,-7.567087561E-2,-3.207803667E-1
1.045194490E-1,-1.367573589E-1,-6.650790572E-2,-3.287216127E-1
1.069304390E-1,-1.465311944E-1,-5.856665969E-2,-3.366628587E-1
1.093414800E-1,-1.520289779E-1,-4.757109284E-2,-3.427715003E-1
1.117524700E-1,-1.575267613E-1,-3.779725730E-2,-3.494910002E-1
1.141635120E-1,-1.630245447E-1,-2.863428742E-2,-3.555996716E-1
1.165745010E-1,-1.679114550E-1,-1.824958436E-2,-3.641517758E-1
1.189855430E-1,-1.721875072E-1,-9.086613543E-3,-3.696495593E-1
1.213965320E-1,-1.758527011E-1,6.872228696E-4,-3.757582009E-1
1.238075740E-1,-1.782961637E-1,1.168278884E-2,-3.818668425E-1
1.262185640E-1,-1.801287532E-1,2.084576152E-2,-3.879754841E-1
1.286296050E-1,-1.819613427E-1,3.061959706E-2,-3.922515512E-1
1.310405950E-1,-1.819613427E-1,3.917170316E-2,-3.983601928E-1
1.334516370E-1,-1.807396114E-1,4.833467677E-2,-4.050796926E-1
1.358626260E-1,-1.819613427E-1,5.444332212E-2,-4.105774760E-1
1.382736680E-1,-1.807396114E-1,6.238456443E-2,-4.179078639E-1
1.406846570E-1,-1.837939471E-1,6.666062027E-2,-4.240165055E-1
1.430956470E-1,-1.868482679E-1,7.215840369E-2,-4.295142889E-1
1.455066890E-1,-1.911243200E-1,7.704532146E-2,-4.313468933E-1
1.479176780E-1,-1.941786408E-1,8.071050793E-2,-4.313468933E-1
1.503287200E-1,-1.990655661E-1,8.193223923E-2,-4.289034307E-1
1.527397100E-1,-2.021198869E-1,8.132137358E-2,-4.258491099E-1
1.551507510E-1,-2.063959390E-1,8.132137358E-2,-4.209621847E-1
1.575617410E-1,-2.094502598E-1,8.071050793E-2,-4.148535430E-1
1.599727820E-1,-2.118937224E-1,7.704532146E-2,-4.099666178E-1
1.623837720E-1,-2.125045806E-1,7.338013500E-2,-4.063014388E-1
1.647948140E-1,-2.125045806E-1,6.604975462E-2,-4.026362598E-1
1.672058030E-1,-2.100611329E-1,6.055197120E-2,-3.989710510E-1
1.696168450E-1,-2.088394016E-1,5.261072889E-2,-3.959167302E-1
1.720278350E-1,-2.057850659E-1,4.283689335E-2,-3.928624094E-1
1.744388760E-1,-2.002872825E-1,3.367391974E-2,-3.910298049E-1
1.768498660E-1,-1.978438348E-1,2.451094985E-2,-3.885863721E-1
1.792608550E-1,-1.923460513E-1,1.290451828E-2,-3.849211633E-1
1.816718970E-1,-1.880699992E-1,2.519817324E-3,-3.824777007E-1
1.840828870E-1,-1.837939471E-1,-1.091920771E-2,-3.769799173E-1
1.864939280E-1,-1.764635593E-1,-2.252563834E-2,-3.739255965E-1
1.889049180E-1,-1.679114550E-1,-3.352120519E-2,-3.684278131E-1
1.913159600E-1,-1.611919403E-1,-4.634936526E-2,-3.647626340E-1
1.937269490E-1,-1.538615674E-1,-5.673406646E-2,-3.580431044E-1
1.961379910E-1,-1.483637840E-1,-6.956222653E-2,-3.507127464E-1
1.985489800E-1,-1.428660005E-1,-7.994692773E-2,-3.464366794E-1
2.009600220E-1,-1.355356276E-1,-8.972076327E-2,-3.378845751E-1
2.033710120E-1,-1.288161129E-1,-9.827287495E-2,-3.287216127E-1
2.057820530E-1,-1.214857325E-1,-1.062141135E-1,-3.195586503E-1
2.081930430E-1,-1.135444939E-1,-1.141553521E-1,-3.097847998E-1
2.106040850E-1,-1.049923822E-1,-1.208748668E-1,-2.987892330E-1
2.130150740E-1,-9.644027799E-2,-1.269835234E-1,-2.877936661E-1
2.154261160E-1,-8.544471115E-2,-1.318704337E-1,-2.767980993E-1
2.178371050E-1,-7.567087561E-2,-1.367573589E-1,-2.664133906E-1
2.202481470E-1,-6.406444311E-2,-1.392008066E-1,-2.548069656E-1
2.226591370E-1,-5.367974192E-2,-1.440877318E-1,-2.450331300E-1
2.250701260E-1,-3.901898861E-2,-1.422551423E-1,-2.346484363E-1
2.274811680E-1,-2.863428742E-2,-1.428660005E-1,-2.236528695E-1
2.298921570E-1,-1.886045001E-2,-1.404225379E-1,-2.120464295E-1
2.323031990E-1,-7.864884101E-3,-1.373682171E-1,-2.010508776E-1
2.347141890E-1,1.908952487E-3,-1.324812919E-1,-1.882227063E-1
2.371252300E-1,1.168278884E-2,-1.269835234E-1,-1.747836918E-1
2.395362200E-1,2.145662531E-2,-1.196531355E-1,-1.601229310E-1
2.419472620E-1,2.817613818E-2,-1.123227626E-1,-1.448513120E-1
2.443582510E-1,3.428478539E-2,-1.031597927E-1,-1.295796931E-1
2.467692930E-1,3.978256881E-2,-9.094249457E-2,-1.143080741E-1
2.491802820E-1,4.283689335E-2,-8.055779338E-2,-9.903645515E-2
2.515913240E-1,4.650207981E-2,-6.956222653E-2,-8.437569439E-2
2.540023140E-1,5.261072889E-2,-5.367974192E-2,-7.215840369E-2
2.564133550E-1,5.505418777E-2,-3.901898861E-2,-5.994110554E-2
2.588243450E-1,5.933023989E-2,-2.374736778E-2,-4.650207981E-2
2.612353350E-1,6.299543381E-2,-8.475748822E-3,-3.550651670E-2
2.636463760E-1,6.666062027E-2,6.795870606E-3,-2.573267929E-2
2.660573660E-1,6.910407543E-2,2.267835476E-2,-1.656970754E-2
2.684684070E-1,7.399099320E-2,3.856083751E-2,-8.628465235E-3
2.708793970E-1,7.643445581E-2,5.444332212E-2,-3.741546767E-3
2.732904390E-1,8.193223923E-2,6.788235158E-2,2.977965865E-3
2.757014280E-1,8.437569439E-2,8.254310489E-2,9.086613543E-3
2.781124700E-1,8.926261961E-2,9.598212689E-2,1.458439697E-2
2.805234600E-1,9.292780608E-2,1.088102907E-1,1.947131567E-2
2.829345010E-1,9.414953738E-2,1.204167232E-1,2.374736778E-2
2.853454910E-1,9.659299254E-2,1.314122826E-1,2.924515121E-2
2.877565320E-1,9.659299254E-2,1.411861181E-1,3.474293277E-2
2.901675220E-1,9.781472385E-2,1.485165060E-1,4.207331315E-2
2.925785640E-1,1.014799103E-1,1.576794684E-1,4.879282415E-2
2.949895530E-1,1.020907760E-1,1.625663936E-1,5.734493211E-2
2.974005950E-1,1.063668281E-1,1.680641770E-1,6.528617442E-2
2.998115850E-1,1.081994250E-1,1.711184978E-1,7.139482349E-2
3.022226260E-1,1.100320220E-1,1.735619605E-1,7.933606207E-2
3.046336160E-1,1.124754772E-1,1.741728187E-1,8.666644245E-2
3.070446050E-1,1.155297980E-1,1.760054082E-1,9.460768104E-2
3.094556470E-1,1.167515293E-1,1.735619605E-1,1.013271958E-1
3.118666370E-1,1.173623949E-1,1.717293561E-1,1.086575761E-1
3.142776780E-1,1.179732606E-1,1.686750352E-1,1.165988147E-1
3.166886680E-1,1.179732606E-1,1.656207144E-1,1.233183295E-1
3.190997100E-1,1.143080741E-1,1.589011997E-1,1.300378442E-1
3.215106990E-1,1.143080741E-1,1.540142894E-1,1.361464858E-1
3.239217410E-1,1.100320220E-1,1.448513120E-1,1.428660005E-1
3.263327300E-1,1.081994250E-1,1.387426704E-1,1.477529258E-1
3.287437720E-1,1.039233729E-1,1.301905513E-1,1.538615674E-1
3.311547620E-1,1.020907760E-1,1.198058575E-1,1.599702090E-1
3.335658030E-1,9.964732081E-2,1.094211563E-1,1.624136716E-1
3.359767930E-1,9.598212689E-2,9.659299254E-2,1.660788655E-1
3.383878350E-1,9.292780608E-2,8.620829135E-2,1.673005968E-1
3.407988240E-1,8.865175396E-2,7.399099320E-2,1.691331863E-1
3.432098660E-1,8.254310489E-2,5.994110554E-2,1.685223281E-1
3.456208550E-1,7.765618712E-2,4.650207981E-2,1.685223281E-1
3.480318450E-1,7.154753804E-2,3.367391974E-2,1.666897237E-1
3.504428870E-1,6.604975462E-2,2.023489587E-2,1.642462611E-1
3.528538760E-1,5.933023989E-2,6.795870606E-3,1.611919403E-1
3.552649180E-1,5.261072889E-2,-7.254019380E-3,1.581376195E-1
3.576759070E-1,4.711294547E-2,-2.008217946E-2,1.563050300E-1
3.600869490E-1,4.222602770E-2,-3.474293277E-2,1.532506943E-1
3.624979390E-1,3.917170316E-2,-4.634936526E-2,1.514181048E-1
3.649089800E-1,3.489565104E-2,-6.039925665E-2,1.483637840E-1
3.673199700E-1,3.184132650E-2,-7.261654735E-2,1.446985900E-1
3.697310120E-1,3.061959706E-2,-8.422297984E-2,1.416442692E-1
3.721420010E-1,2.878700197E-2,-9.460768104E-2,1.392008066E-1
3.745530430E-1,2.878700197E-2,-1.037706509E-1,1.373682171E-1
3.769640320E-1,2.695440874E-2,-1.123227626E-1,1.343138963E-1
3.793750740E-1,2.634354308E-2,-1.196531355E-1,1.312595755E-1
3.817860640E-1,2.451094985E-2,-1.257617921E-1,1.294269711E-1
3.841970530E-1,2.328922041E-2,-1.324812919E-1,1.269835234E-1
3.866080950E-1,2.267835476E-2,-1.349247545E-1,1.263726503E-1
3.890191370E-1,2.206749097E-2,-1.367573589E-1,1.257617921E-1
3.914301260E-1,2.023489587E-2,-1.385899484E-1,1.245400533E-1
3.938411160E-1,1.779143699E-2,-1.373682171E-1,1.233183295E-1
3.962521570E-1,1.534797717E-2,-1.349247545E-1,1.220965981E-1
3.986631470E-1,1.412624773E-2,-1.300378442E-1,1.227074638E-1
4.010741890E-1,1.168278884E-2,-1.245400533E-1,1.214857325E-1
4.034851780E-1,9.239329956E-3,-1.178205460E-1,1.202640012E-1
4.058962200E-1,8.017600514E-3,-1.068249792E-1,1.178205460E-1
4.083072100E-1,4.352411721E-3,-9.644027799E-2,1.172096804E-1
4.107182510E-1,1.298087649E-3,-8.422297984E-2,1.153770834E-1
4.131292410E-1,-1.756236190E-3,-7.139482349E-2,1.123227626E-1
4.155402820E-1,-7.254019380E-3,-5.612320080E-2,1.092684343E-1
4.179512720E-1,-1.275180187E-2,-4.146244749E-2,1.056032479E-1
4.203623140E-1,-1.824958436E-2,-2.435823344E-2,1.013271958E-1
4.227733030E-1,-2.619082667E-2,-7.864884101E-3,1.001054645E-1
4.251843450E-1,-3.291033953E-2,7.406735327E-3,9.827287495E-2
4.275953350E-1,-3.962985426E-2,2.267835476E-2,9.644027799E-2
4.300063760E-1,-4.451677203E-2,3.978256881E-2,9.521854669E-2
4.324173660E-1,-4.879282415E-2,5.505418777E-2,9.277509153E-2
4.348283550E-1,-5.490147322E-2,6.910407543E-2,9.033162892E-2
4.372393970E-1,-5.795579776E-2,8.193223923E-2,8.910989761E-2
4.396503870E-1,-6.223184988E-2,9.353867173E-2,8.788817376E-2
4.420614280E-1,-6.711876392E-2,1.033125073E-1,8.544471115E-2
4.444724180E-1,-6.895136088E-2,1.124754772E-1,8.422297984E-2
4.468834600E-1,-6.956222653E-2,1.185841262E-1,8.300124854E-2
4.492944490E-1,-7.200568914E-2,1.240819097E-1,8.239039034E-2
4.517054910E-1,-7.200568914E-2,1.289688200E-1,8.055779338E-2
4.541164800E-1,-7.261654735E-2,1.295796931E-1,8.055779338E-2
4.565275220E-1,-7.200568914E-2,1.308014244E-1,7.933606207E-2
4.589385120E-1,-7.078395784E-2,1.314122826E-1,7.994692773E-2
4.613495530E-1,-7.017309219E-2,1.283579618E-1,8.177952468E-2
4.637605430E-1,-6.772962958E-2,1.240819097E-1,8.300124854E-2
4.661715320E-1,-6.650790572E-2,1.216384470E-1,8.483384550E-2
4.685825740E-1,-6.467530876E-2,1.155297980E-1,8.910989761E-2
4.709936160E-1,-6.162098423E-2,1.094211563E-1,9.155336022E-2
4.734046050E-1,-6.039925665E-2,1.027016416E-1,9.705114365E-2
4.758155950E-1,-5.734493211E-2,9.414953738E-2,1.007163301E-1
4.782266370E-1,-5.551233515E-2,8.743002266E-2,1.062141135E-1
4.806376260E-1,-5.123628303E-2,7.826705277E-2,1.111010313E-1
4.830486680E-1,-5.001455545E-2,6.910407543E-2,1.159879491E-1
4.854596570E-1,-4.634936526E-2,5.810851231E-2,1.214857325E-1
4.878706990E-1,-4.207331315E-2,4.894553870E-2,1.251509190E-1
4.902816890E-1,-3.657552972E-2,3.856083751E-2,1.312595755E-1
